"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Giovanny Urshela","Indians","42","175","164","42","8","1","3","18","18","8","27","1","0","0",".256",".294",".372",".666",".287","0.9","-0.3","0.1","999.0","10681"
"Taylor Davis","Cubs","1","6","6","1","0","0","0","1","1","0","1","0","0","0",".242",".299",".361",".659",".287","-0.1","0.0","0.0","999.0","12782"
"Tzu-Wei Lin","Red Sox","2","7","6","2","0","0","0","1","1","1","1","0","0","0",".247",".303",".353",".656",".286","0.0","0.0","0.0","667.3","14678"
"Matt Davidson","White Sox","133","560","510","106","20","1","25","59","72","39","202","6","1","1",".208",".270",".397",".667",".284","-0.6","-1.1","-1.2","449.1","7226"
"Kaleb Cowart","Angels","23","98","89","21","4","0","2","10","10","7","24","1","3","1",".233",".294",".359",".653",".283","0.0","0.1","0.1","646.3","11494"
"Ronald Torreyes","Yankees","30","126","117","31","5","1","1","13","11","5","15","1","1","1",".262",".297",".352",".649",".282","0.4","-0.1","0.1","510.1","11400"
"Kyle Farmer","Dodgers","11","46","43","10","2","0","1","4","5","2","8","0","0","0",".242",".287",".362",".649",".280","-0.1","-0.1","0.0","999.0","14813"
"Darwin Barney","Rangers","12","49","45","11","2","0","1","5","4","3","8","0","1","0",".249",".296",".346",".642",".279","0.2","0.0","0.0","999.0","2430"
"Tyler Saladino","White Sox","67","280","254","60","10","2","5","29","24","19","61","3","8","3",".235",".292",".346",".639",".279","2.2","0.2","0.3","693.8","10807"
"Ramon Torres","Royals","13","56","52","14","2","0","1","5","5","3","8","0","2","1",".258",".294",".343",".637",".277","0.0","-0.1","0.0","666.3","14113"
"Alberto Callaspo","","25","105","94","22","4","0","1","10","9","9","17","1","1","1",".232",".301",".325",".626",".276","-1.5","-0.6","-0.3","999.0","3336"
"Adrian Sanchez","Nationals","8","35","33","8","2","0","0","3","3","2","7","0","1","0",".249",".288",".340",".628",".272","0.0","0.0","0.0","999.0","11338"
"Matt Reynolds","Nationals","3","14","13","3","1","0","0","1","1","1","4","0","0","0",".228",".288",".334",".621",".272","0.0","0.0","0.0","999.0","13788"
"Andrew Romine","Mariners","22","91","83","20","3","0","1","10","7","6","20","1","2","1",".237",".292",".322",".614",".271","0.2","0.0","0.0","658.2","1159"
"Adam Rosales","Phillies","20","84","76","16","3","0","2","8","9","5","27","1","1","1",".213",".270",".359",".629",".270","-0.6","-0.1","-0.2","999.0","9682"
"Jonathan Herrera","","50","210","194","46","9","1","2","18","18","12","41","1","3","2",".236",".282",".326",".608",".266","-3.4","-0.3","-0.5","999.0","4182"
"Deven Marrero","Red Sox","10","42","39","9","2","0","1","4","4","2","12","0","1","0",".224",".271",".325",".596",".260","0.1","0.0","-0.1","671.9","13325"
"Cody Asche","Royals","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000","0.0","0.0","0.0","688.0","11997"
